#{"t_start": 1769443831.972301, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
115.0,1893,2732.784445
775.0,4833,2737.026477
440.0,3873,2740.356145
740.0,5021,2745.237791
530.0,4617,2749.266941
800.0,4629,2753.230731
445.0,3369,2756.591455
545.0,3627,2759.942623
1010.0,7479,2766.506318
575.0,4584,2771.020666
755.0,4529,2774.879041
600.0,4011,2778.307705
575.0,4799,2783.023932
435.0,3453,2786.03832
605.0,4051,2789.552107
550.0,3917,2793.513771
415.0,2665,2795.919483
85.0,1513,2797.361979
600.0,4205,2800.983658
605.0,3879,2804.604986
555.0,4513,2808.800625
390.0,2796,2811.257801
505.0,4403,2815.056946
215.0,2027,2817.321882
575.0,3066,2828.485694
590.0,3220,2831.727734
475.0,3569,2834.895096
490.0,4303,2838.715746
345.0,2701,2841.469598
570.0,3749,2845.003983
960.0,6409,2850.733706
970.0,4773,2855.595769
360.0,3843,2859.001853
55.0,1477,2860.299802
360.0,2710,2862.738353
745.0,4431,2867.151539
335.0,3485,2870.26929
525.0,3971,2873.733121
420.0,3053,2876.441487
745.0,3479,2879.978011
450.0,4009,2883.447632
445.0,3653,2886.651184
570.0,4683,2891.256761
545.0,4222,2894.920612
530.0,4309,2898.653231
875.0,3133,2901.659705
535.0,4299,2905.644699
495.0,4613,2909.636283
800.0,3893,2913.158409
300.0,2553,2915.827533
600.0,4451,2919.744391
750.0,3551,2932.950539
875.0,6887,2939.566812
725.0,4050,2943.118755
600.0,3915,2946.472354
470.0,4265,2950.538803
545.0,3763,2954.032218
480.0,3985,2957.432448
1090.0,6373,2963.482568
1115.0,6303,2968.968611
555.0,3799,2972.290675
470.0,4269,2976.542845
845.0,6471,2982.122119
575.0,4331,2986.037953
565.0,2113,2988.229477
390.0,2641,2990.523085
320.0,2241,2992.474448
325.0,2796,2994.875917
475.0,3967,2998.490202
385.0,2540,3001.047602
520.0,3647,3004.197587
720.0,3233,3007.021825
335.0,2865,3009.522201
600.0,4793,3014.285329
600.0,3999,3017.700986
370.0,3377,3020.649107
645.0,5331,3037.458016
400.0,3189,3040.323947
780.0,4290,3043.954976
570.0,4109,3048.021431
605.0,3649,3051.164675
520.0,3403,3054.054371
315.0,2589,3056.29331
395.0,3687,3060.024985
540.0,4645,3064.036505
540.0,3515,3067.065737
470.0,4821,3071.638911
230.0,1633,3073.300669
460.0,3709,3076.558135
530.0,3955,3079.961911
280.0,3317,3083.031561
480.0,3821,3086.743339
805.0,3929,3090.122702
205.0,2111,3091.967928
545.0,4721,3096.604322
520.0,4017,3100.137948
800.0,4653,3104.127464
600.0,4925,3108.883906
300.0,2199,3110.800892
1210.0,7615,3117.393342
200.0,2599,3119.940551
555.0,4087,3123.828833
365.0,2811,3137.24282
625.0,4147,3140.843195
525.0,4523,3145.234169
420.0,2578,3147.503703
465.0,3807,3150.856471
575.0,4207,3154.497785
275.0,2945,3157.642329
415.0,3665,3160.818259
600.0,4007,3164.202124
600.0,4011,3167.785091
575.0,4037,3171.641577
615.0,3477,3174.608845
460.0,4711,3178.686568
575.0,4148,3182.837155
545.0,3475,3185.792907
755.0,4249,3189.506435
525.0,3779,3193.204668
745.0,4040,3196.83573
610.0,4173,3200.42758
145.0,1307,3201.651923
140.0,1711,3203.153764
610.0,3525,3206.751919
485.0,3617,3209.867157
755.0,3265,3212.702588
605.0,4075,3216.318945
380.0,3281,3219.639158
440.0,3302,3222.526459
525.0,5509,3227.240885
785.0,3503,3239.695467
645.0,3813,3243.563431
725.0,3585,3246.67174
520.0,3744,3249.907138
515.0,4161,3253.901148
325.0,3101,3256.797411
575.0,4239,3260.44383
515.0,3859,3263.755954
550.0,4354,3268.04866
245.0,2191,3269.937296
495.0,3409,3272.893947
690.0,3951,3276.239577
405.0,2337,3278.87024
485.0,3393,3281.845104
330.0,3343,3284.741362
310.0,2775,3287.171546
710.0,4925,3292.038711
745.0,3482,3295.045718
550.0,4363,3298.79969
575.0,4209,3303.05763
600.0,3433,3306.068379
945.0,4255,3309.744617
600.0,4673,3314.008126
515.0,3153,3317.104163
745.0,3249,3319.924431
695.0,5007,3324.265192
480.0,3121,3327.471246
200.0,1845,3336.608541
1000.0,4193,3340.811578
675.0,3649,3343.986441
550.0,3116,3346.706881
570.0,4022,3350.339718
685.0,3889,3354.129109
545.0,3840,3357.459808
305.0,2351,3359.512341
600.0,3663,3363.11152
640.0,3121,3366.075686
945.0,4145,3369.719746
570.0,3903,3373.013436
800.0,4167,3377.175592
635.0,4383,3381.068963
495.0,4209,3384.903446
700.0,3683,3388.68369
545.0,3789,3392.03243
190.0,2135,3394.009813
635.0,4051,3397.629586
850.0,4029,3401.699179
520.0,4187,3405.317314
975.0,7057,3412.245598
580.0,4257,3416.170866
500.0,3369,3419.185177
360.0,3063,3422.113941
670.0,4241,3426.548155
600.0,4207,3430.210038
515.0,4025,3444.638269
450.0,3601,3448.070386
745.0,3389,3451.443025
665.0,3521,3454.587681
190.0,2045,3456.417825
665.0,3697,3459.833507
405.0,3253,3463.215873
600.0,4025,3466.75503
775.0,4472,3470.668153
800.0,3947,3474.655326
570.0,5057,3479.107754
570.0,5095,3483.579846
455.0,3925,3487.630224
540.0,4453,3491.609879
400.0,3387,3494.646201
745.0,3390,3498.091355
285.0,3105,3500.950032
520.0,3911,3504.462795
515.0,3423,3507.538047
575.0,3849,3511.58544
545.0,4347,3515.490038
715.0,3638,3518.733526
340.0,3134,3521.849413
400.0,3084,3524.91905
315.0,2253,3526.982472
925.0,4409,3530.830353
1125.0,4889,3544.692702
605.0,3959,3548.803418
485.0,3351,3551.83566
370.0,3165,3554.61947
575.0,3775,3558.082085
600.0,3469,3561.534789
600.0,4097,3565.105234
495.0,3809,3568.388707
600.0,4075,3572.609485
600.0,3917,3576.146328
175.0,2647,3578.570809
475.0,3397,3581.791367
430.0,3446,3585.574066
470.0,4261,3589.525156
310.0,2805,3592.107673
350.0,3180,3595.449086
530.0,2993,3598.432184
395.0,3237,3601.383621
375.0,4677,3605.611074
450.0,3685,3609.472435
570.0,3699,3612.744839
755.0,3491,3615.838662
335.0,2241,3617.832304
475.0,4243,3622.11169
560.0,4042,3625.699018
805.0,4153,3629.434051
520.0,2849,3632.470921
745.0,3715,3636.037783
520.0,4301,3639.913069
520.0,4451,3652.704388
380.0,3031,3655.561892
605.0,3557,3659.102712
725.0,3382,3662.102346
435.0,3668,3665.306987
360.0,3525,3668.833428
570.0,4265,3672.684981
600.0,3887,3676.050349
550.0,3562,3679.199636
450.0,3825,3683.082767
650.0,3573,3686.162602
770.0,4440,3690.029711
770.0,3985,3694.0941
605.0,4015,3697.679254
1135.0,6217,3703.20789
230.0,2169,3705.685583
600.0,4193,3709.380421
420.0,3238,3712.18512
800.0,4837,3716.615452
575.0,3306,3719.857874
600.0,4479,3723.787479
470.0,4337,3727.589664
570.0,3450,3731.187052
745.0,3804,3734.475536
775.0,4134,3738.040562
570.0,4262,3751.107605
580.0,3169,3754.510562
440.0,3799,3757.872412
1000.0,4373,3761.705039
600.0,3831,3765.263859
550.0,4144,3769.107919
800.0,3861,3772.46389
570.0,4090,3775.942963
465.0,3541,3779.569144
460.0,4027,3783.053915
545.0,4361,3786.789023
600.0,5021,3791.669415
600.0,3929,3795.059374
600.0,4337,3798.734347
520.0,3702,3802.292254
800.0,3927,3805.824065
550.0,3365,3808.710134
875.0,6108,3814.428882
500.0,3585,3817.692344
315.0,3161,3820.481728
480.0,3723,3823.68502
570.0,3746,3827.457409
600.0,4847,3831.611538
525.0,3687,3834.757327
515.0,3243,3837.724813
520.0,4532,3842.055303
